ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring
117;1;2026/27;Eindhoven;Cyber Security;Part-time;First-year;The teachers are masters at explaining complex topics in a way that is both rigorous and accessible.;De mentorresponstijd is echt een probleem. Het belemmert mijn leerproces aanzienlijk.;Afspraken over begeleiding zijn vaak lastig te krijgen, [] in de problemen brengt met [].
118;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Ik hoop echt dat [NAME] de feedback kan versnellen, we wachten [].;It would be extremely helpful if the program assigned a single primary mentor.;[] we vaker feedback kregen over onze concepten, [].
119;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;I feel like my understanding of the subject has reached a new, much deeper level thanks to them.;We zouden meer individuele feedback en begeleiding van de docenten waarderen.;The wait time for appointment scheduling is too long, which makes addressing concerns very difficult.
120;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Could the institution ensure the learning management system is stable for all students?;[] tips konden geven over het navigeren door de arbeidsmarkt.;The frequency needs a boost, we need more predictable touchpoints to guide us better.
121;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Kan iemand mij vertellen waarom [NAME] feedback zo traag is? Ik moet dit cijfer nu echt weten.;[] [] ondersteuning is, de reactietijd van de docenten is [].;De begeleiding is erg goed, [].
122;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;[] in de deadline's, [] schema is te strak.;Ik hoop op meer directe feedback en begeleiding, niet alleen algemene informatievoorziening.;Het is goed dat dit onderwerp aandacht krijgt, [] diepgang en persoonlijk contact.
123;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;We really need [NAME] to speed up the grades, we can't wait this long for feedback.;Could the institution provide more notice about newly opened booking slots?;Thank you for the detailed insights into advanced research opportunities available to undergraduates.
124;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;[] teleurgesteld over het beperkte aantal collegeuren, het is echt te weinig.;Het is fijn dat er [] is om vragen te stellen, die proactiviteit is top.;Het is lastig om een afspraak te krijgen, [].
125;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;[] verbeteren? Het werkt vaak niet goed.;Overall, the mentoring sessions were helpful, though more structure would improve the quality significantly.;The lack of timely follow-up on my department suggestions makes me feel like my input is meaningless.
126;1;2026/27;Tilburg;Software Engineering;Part-time;Second-year;We really wish there were more hands-on labs because the theory alone is overwhelming.;Het is lastig om echte vragen te stellen als iedereen tegelijk spreekt.;Ik denk dat meer formele peer-to-peer sessies nuttig zouden zijn in de toekomst.
127;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Ik had gehoopt op meer sessies per week, [] was te hoog voor zo weinig tijd.;Het ontvangen van tips over het sollicitatieproces van ervaren professionals was fantastisch.;I appreciate the positive words, it makes the demanding curriculum feel much more manageable.
128;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;When I need help, getting a prompt response is almost impossible, making study difficult.;Could the faculty offer more personalized guidance outside of scheduled lecture times?;De docenten waren erg toegankelijk en gaven uitgebreide advies over vakkeuze.
129;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;[] over het kleine aantal collegeuren dat we [] semester.;De reactietijd is te laag voor een moderne studie, we verwachten snellere feedback [].;I felt the guidance was tailored to my specific learning style and goals, which is fantastic.
130;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;De vertraging in de beoordeling door [NAME] is erg demotiverend voor de studenten.;I feel very supported by the professors who check in regularly, making learning easier.;Een betere communicatie over beschikbare emotionele hulp zou echt een verbetering zijn.
131;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Het is jammer dat de planning zo strak is, we hebben meer tijd nodig voor verwerking.;I feel overwhelmed by the slow response rate, critical information is always delayed by [].;Het traject met de alumni-connectie was perfect, ik heb al een stagegelegenheid gevonden.
132;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Er zou meer tijd moeten zijn voor projecten, de huidige uren zijn te beperkt.;Could the institution please stabilize the faculty assignments? It's causing undue stress for the students.;Graag meer zichtbare [], zodat we allemaal zien dat we [].
133;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Smith's grading speed is absolutely unacceptable, we need a more prompt assessment turnaround, please.;We hebben echt behoefte aan meer persoonlijke aandacht buiten de grote collegezalen.;Het is fijn om te weten dat mijn inzet [], dat is een enorme motivatie.
134;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Some lecture recordings are missing or were uploaded [] after class.;Het gevoel van betrokkenheid is groot, mede dankzij de docenten die initiatief nemen.;[] helpen om naast de grote momenten ook kleine, frequente check-ins te krijgen.
135;2;2026/27;Den Bosh;HBO-ICT;Part-time;Third-year;The pace is generally good, yet I would appreciate more detailed breakdowns of the advanced modules.;De lesgeefmethode voelt te passief, ik mis echt individuele aandacht.;Ik vond de interacties met oudere studenten heel nuttig, [].
136;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;De docenten stimuleren echt kritisch denken en geven ons een goed inzicht in de huidige markt.;[] momenten vanwege de extreme technische problemen.;De complimenten [] zorgden voor een enorme boost in [].
137;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Ik waardeerde de balans tussen theoretische kennis en de praktische, actuele case studies enorm.;Thank you for linking us to industry professionals, these mentors are truly a huge asset.;[] met groepsdiscussies over angst, naast de individuele sessies.
138;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;[] er meer []? De criteria waren te algemeen.;Could the institution organize workshops for mentors about active listening techniques?;I appreciate the guidance, but perhaps more resources regarding advanced research methods would help.
139;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;I appreciate the academic rigor paired with practical application across all courses.;Could the institution please address the glacial pace of mentor email replies?;I felt truly heard regarding my academic anxieties and career path concerns.
140;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;We could really use extra tutorials, the current schedule is far too demanding.;Kunnen ze bitte een meer constante begeleiding garanderen, we [].;We zouden meer behoefte hebben aan groepsbijeenkomsten om mentoren te raadplegen, want dat is makkelijker.
141;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Kunt u het beleid voor feedback aanpassen? [NAME]'s grading turnaround time is simply unacceptable.;Ik denk dat de mentoring [].;[] over de cursusbelasting werden niet direct opgepakt, waardoor ik twijfelde.
142;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;De uitleg van de concepten is vaak te snel en mist soms meer praktische voorbeelden.;De reactietijd van de mentoren is onacceptabel, wij wachten weken op eenvoudige antwoorden.;De sessies waren informatief en hebben mij een goed overzicht gegeven [] van mijn studie.
143;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;De uitleg is [] accuraat en toont een diepgaande expertise op het gebied.;Their real-world anecdotes make the curriculum so much more relevant to jobs.;Kunnen jullie meer duidelijkheid geven over wat precies 'beter' presteren betekent in []?
144;1;2026/27;Venlo;ICT & Business;Part-time;Fourth-year;Could we get a more detailed breakdown of the assessment? [NAME] is.;[] voordat [], ik [].;Het erkennen van onze pogingen, zelfs de kleine, is de beste [] die ik heb gevoeld.
145;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;De uitleg was [], [] [] in de toekomst.;[] voordat iemand reageert. [] weken gewacht op feedback.;Could the institution look into better scheduling systems so we can connect when both parties are free?
146;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;De feedbackloop rond [NAME] cijfers is [], [] met de volgende vakken.;The system needs better load management because it crashes during high traffic periods.;Understanding industry expectations through these sessions was extremely beneficial for my goals.
147;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Their passion for the subject makes even the most complex topics engaging and understandable.;De mentors [], [].;Could the department implement a more accessible channel for non-urgent but important feedback?
148;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Smith's delayed feedback makes it impossible for us to prepare for the next module.;I wasted [] trying to snag a spot, but the system just kept failing.;Meer frequente korte updates zouden het effectief maken en minder lastig zijn dan een lange sessie.
149;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;We feel unsupported because the teachers are so difficult to schedule time with.;The lag time in communication from mentors is making us question the programmes support structure.;Misschien meer workshops over het herkennen en uiten van emotionele signalen.
150;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;De instructies voor de digitale projecten waren onduidelijk en te vaak gewijzigd.;It feels like we are getting information broadcasted to everyone, not tailored support.;[] response tijd op dringende academische vragen korter was.
151;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;De werkdruk op dit moment is onhoudbaar en ik heb moeite om alles bij te houden.;Kunt u meer online netwerkgelegenheden organiseren? We hebben sociale binding nodig.;Ik waardeerde de groepsdiscussies, het voelde alsof ik bij een echte community zat.
152;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;De communicatie [] is [], waardoor we ons afvragen of we [].;Kunt u meer case studies van echte bedrijven in de lessen integreren, alstublieft?;I really appreciated the chance to connect with other students and build a stronger sense of community here.
153;1;2026/27;Eindhoven;Artificial Intelligence;Part-time;First-year;De verwachtingen rondom de betoogstructuur waren onduidelijk, dus ik wist niet waar ik moest beginnen.;Overall, the peer support system is decent, but quality control is lacking.;Een sterke peer-community is essentieel voor zowel academisch als persoonlijk succes.
154;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Het academische niveau is zeer hoog, [] docenten weten hoe [].;Het is frustrerend om zo snel door verschillende docenten [] gemanaged, een vaste docent [].;Het gevoel van community dat ik vond, was echt waardevol [].
